run_id,from_grade,to_grade,machine_speed,steam_pressure,stock_flow,moisture,ash,caliper,basis_weight_dev,stabilization_time,waste_tons,status
59,Grade B,Grade C,598.47,2.12,2375.66,5.07,6.35,0.091,-0.76,56.1,14.02,Warning
60,Grade B,Grade A,391.58,2.55,2485.05,4.27,8.23,0.099,14.23,61.2,30.62,Critical
61,Grade A,Grade D,292.29,3.1,3279.77,7.15,13.92,0.195,-3.82,115.7,57.84,Critical
62,Grade B,Grade D,263.93,3.51,3458.98,5.71,14.72,0.175,12.33,82.5,41.25,Critical
63,Grade A,Grade C,556.38,2.19,2394.66,4.58,6.35,0.087,7.6,98.1,49.07,Critical
64,Grade A,Grade C,544.2,2.39,2234.49,4.09,5.99,0.074,2.65,101.5,50.75,Critical
65,Grade D,Grade A,511.38,2.26,2448.52,6.29,7.84,0.107,-13.81,76.9,38.44,Critical
66,Grade B,Grade A,387.3,2.76,2736.74,3.9,8.96,0.099,27.19,84.6,42.32,Critical
67,Grade D,Grade B,369.44,2.81,2779.69,6.76,11.3,0.149,-12.22,87.1,43.53,Critical
68,Grade D,Grade C,604.62,2.27,2090.42,4.8,5.55,0.075,-13.56,98.6,49.31,Critical
69,Grade D,Grade C,614.2,2.39,2386.89,4.63,6.56,0.078,-2.85,80.7,40.34,Critical
70,Grade A,Grade D,279.43,3.68,3714.82,5.75,16.09,0.183,13.95,119.7,59.86,Critical
71,Grade A,Grade D,256.51,3.69,3597.03,5.27,15.5,0.178,20.2,69.8,34.88,Critical
72,Grade B,Grade A,448.48,2.49,2372.01,5.01,7.64,0.093,-4.8,61.0,30.51,Critical
73,Grade A,Grade D,283.59,3.16,3820.93,6.81,16.2,0.223,15.49,113.9,56.96,Critical
74,Grade D,Grade A,505.77,2.73,2349.51,5.14,7.36,0.087,-16.38,111.0,55.49,Critical
75,Grade A,Grade D,320.83,3.82,3785.47,6.38,16.63,0.176,1.13,24.4,2.44,Safe
76,Grade D,Grade B,325.81,2.89,3208.31,5.79,12.6,0.164,14.88,112.5,56.27,Critical
77,Grade C,Grade A,433.35,2.65,2340.75,4.55,7.46,0.087,-2.77,105.1,52.53,Critical
78,Grade C,Grade D,262.42,3.2,3303.63,6.22,14.37,0.186,7.91,82.9,41.44,Critical
79,Grade C,Grade B,321.65,2.97,2762.94,5.56,11.05,0.137,0.22,59.3,14.83,Warning
80,Grade B,Grade D,263.4,3.81,3322.99,5.24,14.18,0.155,8.14,106.8,53.42,Critical
81,Grade A,Grade B,328.02,2.89,3152.6,5.84,12.08,0.16,12.13,77.4,38.72,Critical
82,Grade C,Grade A,487.94,2.51,2700.3,5.4,8.78,0.105,-0.39,28.2,2.82,Safe
83,Grade D,Grade C,543.13,2.04,2039.48,4.78,5.51,0.08,-6.12,90.0,44.98,Critical
84,Grade B,Grade C,470.57,2.43,2050.22,3.49,5.73,0.067,8.92,61.6,30.82,Critical
85,Grade B,Grade C,595.58,1.98,2345.96,5.4,6.12,0.096,-1.53,92.3,46.17,Critical
86,Grade A,Grade D,338.3,3.55,3203.55,7.24,14.32,0.16,-18.83,102.7,51.36,Critical
87,Grade D,Grade C,603.13,2.34,2018.39,4.64,5.52,0.067,-16.34,115.4,57.68,Critical
88,Grade D,Grade B,300.57,2.71,3183.09,5.71,12.19,0.179,23.55,113.3,56.64,Critical
89,Grade C,Grade B,309.24,2.9,2868.48,5.48,11.74,0.148,8.22,104.7,52.36,Critical
90,Grade A,Grade B,301.33,3.02,3088.01,5.13,11.94,0.153,19.56,87.2,43.61,Critical
91,Grade A,Grade D,325.63,3.51,3313.22,7.03,13.81,0.165,-12.79,107.4,53.71,Critical
92,Grade B,Grade C,562.92,2.36,2227.07,4.3,5.99,0.077,-1.09,26.6,2.66,Safe
93,Grade C,Grade B,361.74,3.02,3048.39,6.15,12.77,0.151,-1.68,49.5,12.37,Warning
94,Grade A,Grade B,356.16,3.31,3253.16,5.54,13.09,0.152,6.56,109.4,54.71,Critical
95,Grade B,Grade C,469.16,2.25,2313.95,3.75,6.46,0.085,23.3,85.6,42.81,Critical
96,Grade D,Grade B,343.23,2.91,3261.94,6.06,13.27,0.168,10.88,105.4,52.71,Critical
97,Grade D,Grade A,502.88,2.74,2295.49,5.1,7.65,0.085,-17.84,114.5,57.24,Critical
98,Grade A,Grade C,627.03,2.08,2053.13,5.42,5.61,0.078,-18.14,60.7,30.36,Critical
99,Grade A,Grade D,290.71,3.15,3712.86,7.0,15.97,0.215,9.47,65.0,32.48,Critical
100,Grade D,Grade A,394.46,2.3,2436.35,4.77,8.16,0.107,11.18,117.5,58.75,Critical
101,Grade B,Grade C,592.28,2.46,2371.72,4.33,6.27,0.079,0.11,19.1,1.91,Safe
102,Grade B,Grade A,434.48,2.37,2390.82,5.09,7.56,0.103,-0.95,24.5,2.45,Safe
103,Grade B,Grade A,515.1,2.57,2458.19,5.58,7.84,0.097,-14.1,68.3,34.14,Critical
104,Grade C,Grade B,336.46,2.76,3021.33,6.28,12.32,0.161,4.76,68.3,34.13,Critical
105,Grade C,Grade D,313.83,3.72,3646.52,6.39,15.83,0.177,-0.4,27.4,2.74,Safe
106,Grade A,Grade B,358.85,3.18,3251.86,5.81,13.01,0.156,5.72,108.1,54.03,Critical
107,Grade B,Grade D,277.9,3.42,3379.19,6.17,14.95,0.175,4.23,69.9,34.96,Critical
108,Grade C,Grade B,363.84,3.25,3100.68,5.76,12.13,0.145,-0.57,21.2,2.12,Safe
109,Grade B,Grade C,542.46,2.05,2156.59,4.77,5.74,0.083,-0.61,18.4,1.84,Safe
110,Grade B,Grade D,281.03,3.25,3745.79,6.56,15.88,0.203,14.25,106.5,53.27,Critical
111,Grade C,Grade D,285.32,3.54,3838.25,6.1,15.65,0.195,15.31,80.8,40.41,Critical
112,Grade A,Grade C,613.98,2.29,2022.38,4.82,5.38,0.069,-17.65,81.9,40.93,Critical
113,Grade A,Grade D,319.26,3.19,3691.79,7.59,16.55,0.213,-0.88,77.8,38.88,Critical
114,Grade D,Grade A,465.4,2.5,2366.99,5.18,7.62,0.094,-8.45,97.6,48.78,Critical
115,Grade C,Grade B,334.69,2.86,3064.73,6.01,12.24,0.161,6.83,66.3,33.15,Critical
116,Grade D,Grade B,351.21,2.82,2888.16,6.4,11.74,0.151,-4.06,95.5,47.73,Critical
117,Grade D,Grade B,338.69,2.95,3278.11,5.91,13.3,0.168,12.92,94.3,47.15,Critical
118,Grade A,Grade D,310.42,3.33,3645.96,7.07,15.61,0.2,0.67,51.8,12.95,Warning
119,Grade C,Grade A,448.71,2.33,2467.18,5.35,7.75,0.107,-1.03,16.2,1.62,Safe
120,Grade A,Grade D,269.3,3.9,3394.58,5.24,14.5,0.157,8.05,81.9,40.97,Critical
121,Grade B,Grade C,491.46,2.27,2316.77,3.89,6.35,0.081,17.85,78.4,39.19,Critical
122,Grade C,Grade B,344.28,3.1,3143.86,5.71,12.87,0.152,6.54,92.5,46.24,Critical
123,Grade D,Grade B,336.83,3.18,3242.08,5.45,12.6,0.152,12.3,78.4,39.18,Critical
124,Grade D,Grade C,554.86,2.34,2192.57,4.28,5.69,0.077,-1.21,44.2,11.04,Warning
125,Grade D,Grade A,408.83,2.51,2428.33,4.52,7.62,0.096,6.92,104.2,52.11,Critical
126,Grade A,Grade B,399.92,3.0,2735.17,6.86,11.05,0.137,-20.21,84.8,42.39,Critical
127,Grade C,Grade B,342.01,3.09,3033.57,5.7,11.91,0.145,3.48,62.6,31.32,Critical
128,Grade C,Grade B,353.66,2.73,2749.5,6.65,11.49,0.153,-9.3,118.1,59.07,Critical
129,Grade D,Grade C,499.21,2.2,2232.06,4.08,6.15,0.08,11.78,73.4,36.72,Critical
130,Grade B,Grade D,298.83,3.25,3561.18,6.98,14.7,0.198,2.15,54.9,13.73,Warning
131,Grade B,Grade C,580.58,2.25,2247.4,4.64,6.21,0.077,-3.23,114.2,57.11,Critical
132,Grade C,Grade D,281.7,3.63,3368.13,5.88,14.3,0.162,2.48,51.4,12.85,Warning
133,Grade B,Grade D,305.41,3.49,3303.4,6.63,13.97,0.166,-7.29,63.2,31.58,Critical
134,Grade B,Grade A,459.64,2.7,2646.74,4.73,8.5,0.097,3.65,113.4,56.7,Critical
135,Grade C,Grade B,360.95,2.7,2700.28,6.86,10.41,0.151,-12.72,63.8,31.91,Critical
136,Grade A,Grade D,280.08,3.41,3321.06,6.24,14.07,0.173,1.64,36.3,9.07,Warning
137,Grade B,Grade A,446.26,2.76,2352.18,4.5,7.4,0.086,-5.13,108.5,54.27,Critical
138,Grade B,Grade C,502.27,2.06,2122.65,4.38,5.89,0.084,5.65,76.9,38.45,Critical
139,Grade D,Grade C,497.44,1.94,2230.93,4.61,5.88,0.093,12.12,74.8,37.38,Critical
140,Grade D,Grade A,470.26,2.6,2692.87,5.02,8.31,0.106,3.07,65.1,32.55,Critical
141,Grade A,Grade C,577.3,2.11,2327.76,4.92,6.32,0.086,0.8,45.2,11.29,Warning
142,Grade A,Grade D,261.82,3.23,3574.25,6.15,15.34,0.199,17.02,119.5,59.74,Critical
143,Grade A,Grade B,309.05,3.25,2910.82,4.89,11.85,0.135,9.88,96.3,48.16,Critical
144,Grade C,Grade D,334.92,3.17,3715.41,8.02,15.7,0.217,-4.91,82.6,41.31,Critical
145,Grade C,Grade D,278.36,3.78,3503.28,5.59,14.9,0.166,7.88,71.7,35.83,Critical
146,Grade A,Grade D,289.7,3.41,3296.96,6.44,14.81,0.171,-2.45,30.2,7.56,Warning
147,Grade A,Grade C,583.69,2.02,2348.79,5.2,6.34,0.092,0.6,42.0,10.49,Warning
148,Grade B,Grade C,517.01,2.45,2318.47,3.8,6.56,0.076,12.11,86.1,43.07,Critical
149,Grade D,Grade A,500.62,2.75,2319.42,5.05,7.27,0.082,-16.6,70.6,35.29,Critical
150,Grade C,Grade B,391.56,2.99,2799.61,6.74,10.94,0.141,-16.58,93.6,46.78,Critical
151,Grade D,Grade C,630.09,2.27,2064.77,5.0,5.38,0.071,-18.08,102.2,51.09,Critical
152,Grade B,Grade D,340.42,3.83,3828.94,6.75,15.73,0.179,-3.59,86.8,43.39,Critical
153,Grade D,Grade A,503.41,2.77,2708.42,5.04,8.91,0.1,-3.16,77.3,38.66,Critical
154,Grade D,Grade C,514.55,2.17,2409.27,4.27,6.62,0.086,17.06,91.9,45.96,Critical
155,Grade B,Grade A,496.22,2.61,2538.41,5.27,8.3,0.096,-7.92,91.4,45.69,Critical
156,Grade A,Grade D,341.27,3.88,3541.55,6.67,15.57,0.16,-11.05,71.4,35.68,Critical
157,Grade B,Grade C,471.89,2.06,2311.95,4.13,6.58,0.089,22.48,66.7,33.33,Critical
158,Grade A,Grade C,568.22,2.3,2312.87,4.44,6.11,0.078,1.76,30.2,7.54,Warning
159,Grade D,Grade A,383.13,2.35,2545.77,4.52,8.35,0.109,19.6,118.1,59.04,Critical
160,Grade D,Grade C,615.29,2.28,2314.89,4.86,6.39,0.081,-5.94,71.5,35.76,Critical
161,Grade C,Grade B,335.11,3.05,3118.48,5.66,13.05,0.153,8.57,77.8,38.91,Critical
162,Grade D,Grade C,571.11,2.21,2356.27,4.66,6.51,0.084,3.14,85.3,42.65,Critical
163,Grade D,Grade C,570.89,2.17,2293.32,4.74,6.39,0.086,0.43,20.7,2.07,Safe
164,Grade B,Grade D,317.44,3.19,3192.78,7.55,14.27,0.18,-13.79,60.6,30.32,Critical
165,Grade B,Grade C,573.46,2.12,2380.96,4.86,6.44,0.088,3.8,64.8,32.4,Critical
166,Grade B,Grade D,321.84,3.2,3247.29,7.63,14.56,0.178,-13.52,84.5,42.24,Critical
167,Grade B,Grade D,273.27,3.49,3316.21,5.93,13.88,0.168,4.02,80.8,40.38,Critical
168,Grade B,Grade D,328.51,3.33,3268.87,7.47,13.84,0.174,-14.71,76.8,38.41,Critical
169,Grade B,Grade A,477.32,2.34,2541.37,5.67,7.86,0.109,-4.16,100.7,50.36,Critical
170,Grade D,Grade A,444.96,2.43,2469.11,5.09,8.16,0.101,-0.12,16.1,1.61,Safe
171,Grade C,Grade B,358.6,3.21,2998.9,5.74,11.65,0.141,-2.43,39.1,9.78,Warning
172,Grade C,Grade B,356.86,3.04,2860.76,6.03,10.91,0.14,-6.47,115.2,57.6,Critical
173,Grade D,Grade C,617.55,2.28,2211.95,4.89,5.77,0.077,-10.45,112.2,56.08,Critical
174,Grade D,Grade A,430.53,2.56,2498.78,4.67,8.27,0.096,4.47,89.1,44.57,Critical
175,Grade A,Grade B,307.03,2.81,3239.51,5.62,12.79,0.174,23.1,71.4,35.71,Critical
176,Grade C,Grade B,338.8,2.73,3176.15,6.39,12.24,0.172,9.37,92.9,46.44,Critical
177,Grade D,Grade B,304.67,2.79,2986.14,5.62,11.35,0.161,14.35,107.4,53.71,Critical
178,Grade C,Grade A,478.74,2.61,2499.68,5.09,8.3,0.094,-6.02,78.4,39.18,Critical
179,Grade D,Grade C,505.75,2.03,2342.59,4.48,6.52,0.094,15.8,63.4,31.68,Critical
180,Grade C,Grade D,260.97,3.28,3226.83,6.03,13.87,0.177,5.98,87.5,43.74,Critical
181,Grade A,Grade B,362.31,3.24,3280.03,5.75,13.19,0.154,5.62,71.2,35.6,Critical
182,Grade C,Grade D,284.6,3.69,3255.81,5.85,13.51,0.162,-1.94,57.4,14.35,Warning
183,Grade A,Grade B,331.88,3.08,2881.25,5.53,11.62,0.136,1.29,38.8,9.71,Warning
184,Grade A,Grade C,565.15,2.27,2270.3,4.48,5.96,0.082,0.43,15.2,1.52,Safe
185,Grade D,Grade A,486.85,2.53,2604.92,5.34,7.99,0.102,-3.69,89.5,44.73,Critical
186,Grade D,Grade C,620.21,2.25,2355.14,4.96,6.24,0.086,-5.07,96.7,48.35,Critical
187,Grade D,Grade A,387.14,2.49,2366.22,4.31,7.32,0.092,10.02,96.8,48.4,Critical
188,Grade A,Grade D,333.0,3.34,3490.57,7.56,15.27,0.189,-10.15,116.7,58.36,Critical
189,Grade A,Grade C,568.61,2.04,2407.93,5.02,6.78,0.097,5.87,103.7,51.87,Critical
190,Grade C,Grade A,419.76,2.65,2448.16,4.39,7.94,0.091,4.98,85.7,42.83,Critical
191,Grade B,Grade C,566.1,2.09,2326.87,4.89,6.58,0.089,2.76,103.6,51.81,Critical
192,Grade D,Grade C,596.78,2.25,1985.17,4.77,5.5,0.07,-16.84,80.4,40.19,Critical
193,Grade B,Grade A,439.69,2.47,2711.57,4.95,8.54,0.109,11.01,82.0,41.0,Critical
194,Grade B,Grade D,295.74,3.41,3629.95,6.58,15.21,0.196,5.21,99.4,49.72,Critical
195,Grade B,Grade D,331.59,3.66,3794.03,6.87,16.09,0.183,-1.93,43.2,10.8,Warning
196,Grade A,Grade C,476.05,2.26,2231.33,3.79,5.89,0.078,17.18,111.2,55.61,Critical
197,Grade B,Grade A,425.24,2.48,2371.31,4.77,7.44,0.098,0.38,17.6,1.76,Safe
198,Grade C,Grade D,311.42,3.58,3379.68,6.6,14.51,0.173,-6.98,104.7,52.34,Critical
199,Grade C,Grade A,441.42,2.35,2722.1,5.23,8.64,0.113,11.0,99.9,49.96,Critical
200,Grade C,Grade B,314.13,2.93,2955.02,5.51,12.08,0.154,9.75,80.6,40.29,Critical
